id,Relative_Relief_751,SPI751,TWI_FINAL751,Flow_Accumulation_clean751,aspect751,slope751,Elevation1,Distance_to_River,Drainage_Density,Landslide
176,5.934727669,2.126646519,0.631436348,1.912952423,355.0773315,4.021278381,15.50472355,2248.8,1.1845,1
177,13.32940674,4.92706728,0.708287299,3.027004004,357.7923889,11.10932827,41.37902069,2499.3,1.7443,0
178,22.48232269,-1284.960205,20.26259995,32.19313049,236.7703857,11.4952116,82.10747528,368.03,1.78,1
179,20.70930481,17.44557571,0.445425779,5.013000965,312.1902161,12.51142788,103.6389618,2648.8,2.094,0
180,16.2359314,-3.658615351,18.10836411,7.662601471,273.6505127,12.35315514,270.063324,461.47,1.8421,0
181,24.97744751,-1.00951767,17.49237442,4.710811615,198.7781982,19.25150871,317.8269043,625.59,2.2006,1
182,41.72946167,-8.551625252,17.96864891,7.353103638,339.1296997,27.11843109,234.1794891,463.58,2.4948,0
183,24.95690918,-3.447998762,17.82273102,6.124411106,158.0303497,18.04088974,361.3195496,883.96,1.9046,0
184,16.77114868,-16.10857773,18.56321335,13.04309464,323.4293518,12.14211845,500.5883179,785.34,1.8719,0
185,32.72644043,9.354454041,2.550933123,10.37058544,6.208297729,24.7939167,469.243988,2096.3,2.8638,0
186,34.89099121,0.272328705,3.544733524,3.028632879,56.13282013,19.5333519,526.0057983,2196.74,2.5912,1
187,16.97575378,107.7875824,-0.875671089,6.382867813,19.03474426,13.82097054,107.9244461,2722.76,1.7169,1
188,42.65142822,20.49152565,1.308061004,8.744865417,75.18164825,29.92802238,993.7875977,2370.73,2.9508,1
189,29.54516602,-8.525619507,18.89902496,19.18297195,129.6540985,19.87702179,232.9738617,577.5,2.3555,1
190,31.02706909,-8.524032593,17.83774948,6.653213501,357.4872437,23.91701889,522.59729,541.02,2.9997,1
191,33.80311584,1.203682899,1.188465118,1.915044069,51.67612457,25.33966827,277.7293091,2151.78,2.7129,1
192,27.81866455,-12.27275562,17.0635891,2.779921532,326.0079956,18.30068016,267.2072754,947.06,2.5068,0
193,62.11627197,0.914426744,3.314935923,5.111011028,100.632782,41.81087875,758.1533813,2340.21,3.8785,0
194,13.80351257,-6.371460915,16.97682953,2.899849176,205.2215424,8.104870796,186.3522339,823.78,1.7125,1
195,33.4041748,-3.146302462,17.21637154,3.790004492,269.0505981,25.59632301,238.2704773,652.5,2.9132,0
196,32.72247314,104.8967361,1.76831162,27.09615326,356.949585,25.7222271,863.8795776,2221.15,2.75,0
197,23.35916138,-11.66678143,19.30593491,28.38099098,166.1132812,16.40500259,321.9536438,634.47,1.8596,0
198,18.46298218,3.080114603,1.044417858,2.930947304,198.6494598,13.0822382,371.4825745,2568.37,1.7769,0
199,25.49462891,-63.04239655,20.04286957,9.90141964,115.5074692,18.80506706,301.8847046,640.45,2.5297,0
200,45.13879395,52.35243988,6.101023674,49.90135574,185.3809509,32.81366348,696.4559937,1997.95,3.3894,0
201,36.15838623,-48.53900146,20.1723671,64.75489044,254.0783386,25.30314827,863.9940796,504.82,2.6006,0
202,41.62457275,-4.100553036,17.27885818,3.869167089,283.9682312,29.80734825,454.8065186,518.73,2.9346,0
203,18.32319641,6.217265129,2.968174696,4.079688072,31.13773727,12.38037968,171.8423157,2005.92,1.4354,0
204,36.25164795,1.45209682,1.333715439,2.280918598,238.5477448,21.08800888,468.5851746,2539.81,2.6808,0
205,45.11117554,11.2063942,2.033308268,9.511942863,253.0601044,30.3263607,402.6300354,2322.94,3.2167,0
206,31.27597046,-24.83294678,18.74688148,17.43775368,251.154129,21.52481079,439.6406555,332.68,2.3951,0
207,13.27274323,1.156489372,1.804333448,2.30662775,3.686042786,12.69558048,80.33666229,2093.63,1.8437,0
208,20.01763916,-117.0938339,17.12921524,3.036570787,259.1066895,15.25029373,127.3011093,823.56,1.5485,0
209,7.328521729,-20.5500946,17.11321259,3.042156696,311.9624939,5.079902649,152.8528137,495.96,1.1725,0
210,30.50475311,7.725244522,1.196658492,5.226547241,293.4910889,19.8282547,50.48728943,2184.81,2.5705,0
211,10.67148972,-15.12785625,19.07884216,6.155445576,268.5040588,6.245872974,13.34690285,568.85,1.5478,1
212,35.75978851,0.869719446,2.934909821,3.805461407,137.2187195,20.56644821,128.5763855,2274.42,2.4215,0
213,5.626148224,10.11493397,1.930853248,9.012242317,341.6975403,2.748899221,14.15034389,2356.07,1.1035,0
214,22.28115845,4.058073521,0.64555186,2.464792252,49.10624313,11.16788483,167.8976898,2272.32,1.8558,1
215,12.02555847,-447.4266052,19.95953751,1.967408538,332.1624146,9.015565872,111.9154739,561.43,1.4894,1
216,15.9045105,79.41278839,1.841913223,21.51696014,297.3283386,11.0041914,274.2590027,2157.72,1.3521,0
217,22.20123291,22.33697128,3.511596918,30.82553673,101.7331161,17.78238106,86.27944183,2032.8,2.159,1
218,21.5061264,0.411677718,3.776430607,4.057597637,341.0490112,16.4380703,76.45514679,2216.54,2.1466,1
219,16.04266357,-6.428192616,17.67292404,5.259901524,260.5951843,12.07471371,93.65332031,761.59,1.9846,0
220,44.76715088,33.10635757,-0.778044224,3.713339329,13.11154938,32.50179672,713.9078979,2728.88,2.9037,0
221,35.81619263,-171.1059875,19.8347168,11.47503853,40.58995819,25.14724731,139.2057495,546.78,2.6519,0
222,34.60253906,0.450201631,1.666570425,1.38351202,58.52160263,20.92826462,293.5554504,2341,2.3657,0
223,7.145877838,-713.5723267,21.83000183,107.13591,331.8762817,4.087968349,20.3838768,62.86,0.98,0
224,5.529762268,49.21066666,7.216874123,255.4835815,181.2901154,3.368562937,-34.4383812,1678.93,1.2474,0
